,Year,Number of deaths
0,1/8/2021,96
1,1/7/2021,111
2,1/6/2021,121
3,1/4/2021,78
4,1/3/2021,60
5,1/2/2021,78
6,12/31/2020,171
7,12/30/2020,127
8,12/29/2020,135
9,12/28/2020,104
10,12/27/2020,122
11,12/26/2020,85
12,12/25/2020,111
13,12/24/2020,146
14,12/23/2020,130
15,12/22/2020,155
16,12/21/2020,87
17,12/20/2020,98
18,12/19/2020,139
19,12/18/2020,188
20,12/17/2020,107
21,12/16/2020,164
22,12/15/2020,204
23,12/14/2020,109
24,12/13/2020,121
25,12/12/2020,148
26,12/11/2020,168
27,12/10/2020,127
28,12/9/2020,161
29,12/8/2020,213
30,12/7/2020,127
31,12/6/2020,134
32,12/4/2020,176
33,12/3/2020,211
34,12/2/2020,135
35,12/1/2020,199
36,11/30/2020,138
37,11/29/2020,148
38,11/28/2020,161
39,11/27/2020,172
40,11/25/2020,168
41,11/24/2020,196
42,11/23/2020,130
43,11/21/2020,160
44,11/19/2020,167
45,11/17/2020,186
46,11/16/2020,149
47,11/14/2020,129
48,11/13/2020,174
49,11/12/2020,121
50,11/11/2020,203
51,11/10/2020,177
52,11/9/2020,130
53,11/8/2020,86
54,11/7/2020,130
55,11/6/2020,123
56,11/5/2020,121
57,11/4/2020,146
58,11/3/2020,102
59,11/2/2020,86
60,11/1/2020,99
61,10/30/2020,103
62,10/29/2020,83
63,10/28/2020,107
64,10/26/2020,79
65,10/24/2020,73
66,10/23/2020,82
67,10/22/2020,98
68,10/21/2020,69
69,10/19/2020,59
70,10/17/2020,63
71,10/16/2020,75
72,10/14/2020,66
73,10/10/2020,59
74,10/7/2020,82
75,10/6/2020,73
76,10/5/2020,45
77,10/3/2020,32
78,10/2/2020,53
79,9/30/2020,33
80,9/29/2020,44
81,9/27/2020,31
82,9/26/2020,54
83,9/25/2020,42
84,9/24/2020,41
85,9/23/2020,47
86,9/21/2020,23
87,9/20/2020,33
88,9/18/2020,48
89,9/17/2020,27
90,9/16/2020,49
91,9/14/2020,22
92,9/11/2020,35
93,9/9/2020,51
94,9/7/2020,33
95,9/4/2020,47
96,9/1/2020,60
97,8/31/2020,43
98,8/29/2020,32
99,8/28/2020,48
100,8/27/2020,38
101,8/25/2020,58
102,8/22/2020,37
103,8/20/2020,48
104,8/19/2020,32
105,8/18/2020,45
106,8/16/2020,37
107,8/15/2020,50
108,8/13/2020,53
109,8/12/2020,43
110,8/10/2020,29
111,8/7/2020,50
112,8/5/2020,41
113,8/3/2020,19
114,7/31/2020,39
115,7/29/2020,30
116,7/27/2020,19
117,7/25/2020,15
118,7/23/2020,25
119,7/21/2020,36
120,7/20/2020,12
121,7/17/2020,17
122,7/14/2020,30
123,7/12/2020,13
124,7/11/2020,24
125,7/8/2020,18
126,7/5/2020,19
127,7/2/2020,20
128,6/29/2020,22
129,6/26/2020,14
130,6/23/2020,16
131,6/20/2020,16
132,6/18/2020,22
133,6/16/2020,10
134,6/13/2020,14
135,6/10/2020,15
136,6/7/2020,8
137,6/4/2020,11
138,6/1/2020,8
139,5/29/2020,11
140,5/26/2020,17
141,5/23/2020,11
142,5/20/2020,15
143,5/17/2020,16
